"min_num","max_num","name","checksum"
"1100","1199","Nordea Bank AB","mod11_10_digits"
"1200","1399","DANSKE BANK","mod11_10_digits"
"1400","2099","Nordea Bank AB","mod11_10_digits"
"2300","2399","Ålandsbanken Abp (Finland), svensk filial","mod11_11_digits"
"2400","2499","DANSKE BANK","mod11_10_digits"
"3000","3299","Nordea Bank AB","mod11_10_digits"
"3300","3300","Nordea Bank AB","mod10_10_digits"
"3301","3399","Nordea Bank AB","mod11_10_digits"
"3400","3409","LANSFORSAKRINGAR BANK AB","mod11_10_digits"
"3410","3781","Nordea Bank AB","mod11_10_digits"
"3782","3782","Nordea Bank AB","mod11_10_digits"
"3783","3999","Nordea Bank AB","mod11_10_digits"
"4000","4999","Nordea Bank AB","mod11_11_digits"
"5000","5999","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"6000","6999","HANDELSBANKEN","mod11_9_digits"
"7000","7999","SWEDBANK AB (PUBL)","mod11_10_digits"
"8000","8999","SWEDBANK AB","mod10_max_10_digits"
"9020","9029","LANSFORSAKRINGAR BANK AB","mod11_11_digits"
"9040","9049","Citibank International Limited (England) Sverige filial","mod11_11_digits"
"9060","9069","LANSFORSAKRINGAR BANK AB","mod11_10_digits"
"9070","9079","Multitude Bank","mod11_10_digits"
"9090","9099","The Royal Bank of Scotland plc UK Nordic filial","mod11_9_digits"
"9100","9109","NORDNET BANK AB","mod11_11_digits"
"9120","9124","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"9130","9149","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"9150","9169","Skandiabanken AB","mod11_11_digits"
"9170","9179","IKANO Bank AB","mod11_10_digits"
"9180","9189","DANSKE BANK","mod10_10_digits"
"9190","9199","DNB BANK ASA, FILIAL SVERIGE","mod11_11_digits"
"9230","9239","MARGINALEN BANK BANKAKTIEBOLAG","mod11_10_digits"
"9250","9259","SBAB","mod11_10_digits"
"9260","9269","DNB Bank","mod11_11_digits"
"9270","9279","ICA Banken AB","mod11_10_digits"
"9280","9289","Resurs Bank Aktiebolag","mod11_10_digits"
"9300","9349","Sparbanken Öresund AB","mod10_10_digits"
"9390","9399","Landshypotek Bank","mod11_11_digits"
"9400","9449","FOREX BANK AKTIEBOLAG","mod11_9_digits"
"9460","9469","Santander Consumer Bank AS Norge, Sverige Filial","mod11_10_digits"
"9470","9479","BNP PARIBAS S.A., BANKFILIAL SVERIGE","mod11_11_digits"
"9500","9549","Skandiabanken AB","mod10_max_10_digits"
"9550","9569","AVANZA BANK AB","mod11_11_digits"
"9570","9579","Sparbanken Syd","mod10_10_digits"
"9580","9589","Aion Bank SA","mod11_10_digits"
"9590","9599","Erik Penser Bank","mod11_11_digits"
"9630","9639","Lån og Spar Bank Sverige","mod11_10_digits"
"9640","9649","NOBA Bank Group","mod11_11_digits"
"9660","9669","Svea Bank","mod11_11_digits"
"9670","9679","JAK Medlemsbank","mod11_11_digits"
"9680","9689","BLUESTEP BANK AB","mod11_10_digits"
"9700","9709","Ekobanken","mod11_11_digits"
"9710","9719","Lunar Bank","mod11_11_digits"
"9750","9759","Northmill Bank","mod11_11_digits"
"9780","9789","Klarna Bank","mod11_11_digits"
"9880","9889","Riksgälden","mod11_11_digits"
"9890","9899","Ålandsbanken Abp (Finland), svensk filial","mod10_10_digits"
"9960","9969","Skandiabanken AB","mod10_max_10_digits"
